Input,Time_s,Speed_RPM
250,594.502,3294
250,594.552,3300
250,594.602,3294
250,594.652,3300
250,594.702,3300
250,594.752,3300
250,594.802,3294
250,594.852,3300
250,594.902,3300
250,594.952,3300
0,595.002,3300
0,595.052,3270
0,595.102,3204
0,595.152,3150
0,595.202,3090
0,595.252,3024
0,595.302,2970
0,595.352,2910
0,595.402,2850
0,595.452,2790
0,595.502,2730
0,595.552,2676
0,595.602,2616
0,595.652,2556
0,595.702,2496
0,595.752,2442
0,595.802,2376
0,595.852,2322
0,595.902,2262
0,595.952,2208
0,596.002,2148
0,596.052,2082
0,596.102,2028
0,596.152,1968
0,596.202,1908
0,596.252,1848
0,596.302,1794
0,596.352,1728
0,596.402,1668
0,596.452,1608
0,596.502,1548
0,596.552,1488
0,596.602,1428
0,596.652,1362
0,596.702,1308
0,596.752,1242
0,596.802,1182
0,596.852,1122
0,596.902,1068
0,596.952,1002
0,597.002,942
0,597.052,888
0,597.102,834
0,597.152,774
0,597.202,726
0,597.252,666
0,597.302,624
0,597.352,570
0,597.402,528
0,597.452,486
0,597.502,444
0,597.552,408
0,597.602,366
0,597.652,342
0,597.702,306
0,597.752,276
0,597.802,252
0,597.852,228
0,597.902,210
0,597.952,186
0,598.002,168
0,598.052,150
0,598.102,132
0,598.152,120
0,598.202,108
0,598.252,96
0,598.302,90
0,598.352,72
0,598.402,66
0,598.452,60
0,598.502,54
0,598.552,42
0,598.602,42
0,598.652,36
0,598.702,24
0,598.752,24
0,598.802,24
0,598.852,12
0,598.902,12
0,598.952,12
0,599.002,6
0,599.052,6
0,599.102,0
0,599.152,0
0,599.202,0
0,599.252,0
0,599.302,-6
0,599.352,0
0,599.402,0
0,599.452,0
0,599.502,0
0,599.552,0
0,599.602,0
0,599.652,0
0,599.702,0
0,599.752,0
0,599.802,0
0,599.852,0
0,599.902,0
0,599.952,0
0,600.002,0
0,600.052,0
0,600.102,0
0,600.152,0
0,600.202,0
0,600.252,0
0,600.302,0
0,600.352,0
0,600.402,0
0,600.452,0
0,600.502,0
0,600.552,0
0,600.602,0
0,600.652,0
0,600.702,0
0,600.752,0
0,600.802,0
0,600.852,0
0,600.902,0
0,600.952,0
