Input,Time_s,Speed_RPM
0,22.702,0
0,22.752,0
0,22.802,0
0,22.852,0
0,22.902,0
0,22.952,0
0,23.002,0
0,23.052,0
0,23.102,0
0,23.152,0
0,23.202,0
0,23.252,0
0,23.302,0
0,23.352,0
0,23.402,0
0,23.452,0
0,23.502,0
0,23.552,0
0,23.602,0
0,23.652,0
0,23.702,0
0,23.752,0
0,23.802,0
0,23.852,0
0,23.902,0
0,23.952,0
0,24.002,0
0,24.052,0
0,24.102,0
0,24.152,0
0,24.202,0
0,24.252,0
0,24.302,0
0,24.352,0
0,24.402,0
0,24.452,0
0,24.502,0
0,24.552,0
0,24.602,0
0,24.652,0
0,24.702,0
0,24.752,0
0,24.802,0
0,24.852,0
0,24.902,0
0,24.952,0
125,25.002,0
125,25.052,72
125,25.102,210
125,25.152,342
125,25.202,450
125,25.252,552
125,25.302,648
125,25.352,732
125,25.402,804
125,25.452,870
125,25.502,936
125,25.552,990
125,25.602,1044
125,25.652,1098
125,25.702,1134
125,25.752,1182
125,25.802,1218
125,25.852,1254
125,25.902,1284
125,25.952,1314
125,26.002,1344
125,26.052,1374
125,26.102,1398
125,26.152,1416
125,26.202,1440
125,26.252,1464
125,26.302,1476
125,26.352,1500
125,26.402,1512
125,26.452,1530
125,26.502,1548
125,26.552,1554
125,26.602,1572
125,26.652,1584
125,26.702,1596
125,26.752,1608
125,26.802,1614
125,26.852,1626
125,26.902,1632
125,26.952,1644
125,27.002,1650
125,27.052,1656
125,27.102,1668
125,27.152,1674
125,27.202,1674
125,27.252,1686
125,27.302,1692
125,27.352,1692
125,27.402,1698
125,27.452,1710
125,27.502,1704
125,27.552,1716
125,27.602,1716
125,27.652,1722
125,27.702,1728
125,27.752,1728
125,27.802,1728
125,27.852,1734
125,27.902,1740
125,27.952,1740
125,28.002,1740
125,28.052,1746
125,28.102,1746
125,28.152,1746
125,28.202,1752
125,28.252,1752
125,28.302,1752
125,28.352,1758
125,28.402,1758
125,28.452,1758
125,28.502,1764
125,28.552,1764
125,28.602,1758
125,28.652,1770
125,28.702,1764
125,28.752,1764
125,28.802,1770
125,28.852,1770
125,28.902,1770
125,28.952,1770
125,29.002,1770
125,29.052,1770
125,29.102,1776
125,29.152,1770
125,29.202,1776
125,29.252,1776
125,29.302,1776
125,29.352,1776
125,29.402,1776
125,29.452,1776
125,29.502,1782
125,29.552,1776
125,29.602,1776
125,29.652,1782
125,29.702,1776
125,29.752,1782
125,29.802,1782
125,29.852,1776
125,29.902,1782
125,29.952,1782
125,30.002,1782
125,30.052,1782
125,30.102,1776
125,30.152,1782
125,30.202,1782
125,30.252,1782
125,30.302,1782
125,30.352,1782
125,30.402,1788
125,30.452,1782
125,30.502,1782
125,30.552,1782
125,30.602,1782
125,30.652,1788
125,30.702,1782
125,30.752,1782
125,30.802,1788
125,30.852,1782
125,30.902,1782
125,30.952,1788
250,31.002,1782
250,31.052,1836
250,31.102,1920
250,31.152,2004
250,31.202,2082
250,31.252,2148
250,31.302,2220
250,31.352,2280
250,31.402,2334
250,31.452,2388
250,31.502,2442
250,31.552,2484
250,31.602,2526
250,31.652,2574
250,31.702,2604
250,31.752,2646
250,31.802,2676
250,31.852,2706
250,31.902,2742
250,31.952,2766
250,32.002,2790
250,32.052,2820
250,32.102,2838
250,32.152,2862
250,32.202,2886
250,32.252,2904
250,32.302,2922
250,32.352,2940
250,32.402,2952
250,32.452,2976
250,32.502,2988
250,32.552,3000
250,32.602,3012
250,32.652,3030
250,32.702,3036
250,32.752,3048
250,32.802,3060
250,32.852,3072
250,32.902,3078
250,32.952,3090
250,33.002,3102
250,33.052,3102
250,33.102,3114
250,33.152,3120
250,33.202,3126
250,33.252,3138
250,33.302,3138
250,33.352,3144
250,33.402,3150
250,33.452,3156
250,33.502,3162
250,33.552,3162
250,33.602,3174
250,33.652,3174
250,33.702,3174
250,33.752,3186
250,33.802,3186
250,33.852,3186
250,33.902,3192
250,33.952,3198
250,34.002,3198
250,34.052,3198
250,34.102,3204
250,34.152,3204
250,34.202,3210
250,34.252,3210
250,34.302,3216
250,34.352,3210
250,34.402,3216
250,34.452,3222
250,34.502,3216
250,34.552,3222
250,34.602,3222
250,34.652,3228
250,34.702,3228
250,34.752,3228
250,34.802,3228
250,34.852,3228
250,34.902,3228
250,34.952,3234
250,35.002,3234
250,35.052,3234
250,35.102,3234
250,35.152,3234
250,35.202,3240
250,35.252,3234
250,35.302,3240
250,35.352,3240
250,35.402,3240
250,35.452,3240
250,35.502,3240
250,35.552,3240
250,35.602,3240
250,35.652,3246
250,35.702,3246
250,35.752,3240
250,35.802,3246
250,35.852,3246
250,35.902,3240
250,35.952,3246
250,36.002,3246
250,36.052,3246
250,36.102,3246
250,36.152,3246
250,36.202,3252
250,36.252,3246
250,36.302,3246
250,36.352,3246
250,36.402,3252
250,36.452,3246
250,36.502,3246
250,36.552,3252
250,36.602,3246
250,36.652,3246
250,36.702,3252
250,36.752,3246
250,36.802,3252
250,36.852,3246
250,36.902,3252
250,36.952,3246
0,37.002,3252
0,37.052,3216
0,37.102,3162
0,37.152,3096
0,37.202,3042
0,37.252,2982
0,37.302,2922
0,37.352,2868
0,37.402,2808
0,37.452,2748
0,37.502,2688
0,37.552,2634
0,37.602,2580
0,37.652,2514
