Input,Time_s,Speed_RPM
0,5.862,0
0,5.912,0
0,5.962,0
0,6.012,0
0,6.062,0
0,6.112,0
0,6.162,0
0,6.212,0
0,6.262,0
0,6.312,0
0,6.362,0
0,6.412,0
0,6.462,0
0,6.512,0
0,6.562,0
0,6.612,0
0,6.662,0
0,6.712,0
0,6.762,0
0,6.812,0
0,6.862,0
0,6.912,0
0,6.962,0
0,7.012,0
125,7.062,0
125,7.112,66
125,7.162,204
125,7.212,330
125,7.262,438
125,7.312,546
125,7.362,630
125,7.412,720
125,7.462,792
125,7.512,858
125,7.562,924
125,7.612,984
125,7.662,1038
125,7.712,1086
125,7.762,1128
125,7.812,1176
125,7.862,1206
125,7.912,1248
125,7.962,1284
125,8.012,1314
125,8.062,1344
125,8.112,1368
125,8.162,1398
125,8.212,1416
125,8.262,1446
125,8.312,1458
125,8.362,1482
125,8.412,1506
125,8.462,1518
125,8.512,1530
125,8.562,1554
125,8.612,1566
125,8.662,1578
125,8.712,1590
125,8.762,1602
125,8.812,1614
125,8.862,1626
125,8.912,1632
125,8.962,1644
125,9.012,1656
125,9.062,1662
125,9.112,1668
125,9.162,1680
125,9.212,1680
125,9.262,1692
125,9.312,1698
125,9.362,1704
125,9.412,1710
125,9.462,1716
125,9.512,1716
125,9.562,1728
125,9.612,1728
125,9.662,1734
125,9.712,1734
125,9.762,1740
125,9.812,1746
125,9.862,1746
125,9.912,1752
125,9.962,1752
125,10.012,1758
125,10.062,1758
125,10.112,1764
125,10.162,1764
125,10.212,1770
125,10.262,1770
125,10.312,1770
125,10.362,1770
125,10.412,1776
125,10.462,1776
125,10.512,1782
125,10.562,1776
125,10.612,1782
125,10.662,1782
125,10.712,1788
125,10.762,1782
125,10.812,1788
125,10.862,1788
125,10.912,1788
125,10.962,1794
125,11.012,1788
125,11.062,1794
125,11.112,1794
125,11.162,1788
125,11.212,1800
125,11.262,1794
125,11.312,1794
125,11.362,1794
125,11.412,1800
125,11.462,1800
125,11.512,1794
125,11.562,1800
125,11.612,1800
125,11.662,1800
125,11.712,1800
125,11.762,1800
125,11.812,1800
125,11.862,1806
125,11.912,1800
125,11.962,1800
125,12.012,1806
125,12.062,1800
125,12.112,1806
125,12.162,1800
125,12.212,1806
125,12.262,1800
125,12.312,1806
125,12.362,1806
125,12.412,1806
125,12.462,1800
125,12.512,1806
125,12.562,1806
125,12.612,1806
125,12.662,1806
125,12.712,1806
125,12.762,1806
125,12.812,1806
125,12.862,1806
125,12.912,1806
125,12.962,1806
125,13.012,1806
250,13.062,1806
250,13.112,1854
250,13.162,1938
250,13.212,2016
250,13.262,2100
250,13.312,2160
250,13.362,2232
250,13.412,2292
250,13.462,2346
250,13.512,2400
250,13.562,2448
250,13.612,2496
250,13.662,2538
250,13.712,2580
250,13.762,2616
250,13.812,2652
250,13.862,2688
250,13.912,2718
250,13.962,2748
250,14.012,2778
250,14.062,2808
250,14.112,2826
250,14.162,2850
250,14.212,2880
250,14.262,2898
250,14.312,2916
250,14.362,2934
250,14.412,2952
250,14.462,2970
250,14.512,2988
250,14.562,3000
250,14.612,3018
250,14.662,3030
250,14.712,3042
250,14.762,3054
250,14.812,3066
250,14.862,3078
250,14.912,3090
250,14.962,3096
250,15.012,3108
250,15.062,3114
250,15.112,3126
250,15.162,3132
250,15.212,3138
250,15.262,3150
250,15.312,3156
250,15.362,3162
250,15.412,3168
250,15.462,3168
250,15.512,3180
250,15.562,3186
250,15.612,3186
250,15.662,3192
250,15.712,3198
250,15.762,3204
250,15.812,3210
250,15.862,3210
250,15.912,3210
250,15.962,3222
250,16.012,3222
250,16.062,3222
250,16.112,3228
250,16.162,3228
250,16.212,3234
250,16.262,3234
250,16.312,3240
250,16.362,3240
250,16.412,3240
250,16.462,3246
250,16.512,3246
250,16.562,3246
250,16.612,3252
250,16.662,3252
250,16.712,3258
250,16.762,3252
250,16.812,3258
250,16.862,3258
250,16.912,3258
250,16.962,3264
250,17.012,3258
250,17.062,3264
250,17.112,3264
250,17.162,3264
250,17.212,3270
250,17.262,3264
250,17.312,3270
250,17.362,3270
250,17.412,3270
250,17.462,3270
250,17.512,3270
250,17.562,3276
250,17.612,3270
250,17.662,3276
250,17.712,3276
250,17.762,3276
250,17.812,3270
250,17.862,3276
250,17.912,3276
250,17.962,3282
250,18.012,3276
250,18.062,3276
250,18.112,3276
250,18.162,3282
250,18.212,3276
250,18.262,3282
250,18.312,3282
250,18.362,3276
250,18.412,3282
250,18.462,3282
250,18.512,3282
250,18.562,3282
250,18.612,3282
250,18.662,3282
250,18.712,3282
250,18.762,3282
250,18.812,3282
250,18.862,3282
250,18.912,3288
250,18.962,3282
250,19.012,3282
0,19.062,3282
0,19.112,3258
0,19.162,3192
0,19.212,3138
0,19.262,3072
0,19.312,3018
0,19.362,2964
0,19.412,2904
0,19.462,2844
0,19.512,2790
0,19.562,2730
0,19.612,2670
0,19.662,2616
0,19.712,2562
0,19.762,2502
0,19.812,2442
0,19.862,2388
0,19.912,2334
0,19.962,2274
0,20.012,2220
0,20.062,2160
0,20.112,2106
0,20.162,2040
0,20.212,1992
0,20.262,1932
0,20.312,1872
0,20.362,1818
0,20.412,1758
0,20.462,1698
0,20.512,1638
0,20.562,1584
0,20.612,1524
0,20.662,1464
0,20.712,1404
0,20.762,1344
0,20.812,1284
0,20.862,1230
0,20.912,1170
0,20.962,1104
0,21.012,1056
0,21.062,990
0,21.112,936
0,21.162,882
0,21.212,822
0,21.262,774
0,21.312,714
0,21.362,672
0,21.412,618
0,21.462,570
0,21.512,528
0,21.562,486
0,21.612,444
0,21.662,408
0,21.712,366
0,21.762,342
0,21.812,306
0,21.862,282
0,21.912,252
0,21.962,234
0,22.012,204
0,22.062,186
0,22.112,168
0,22.162,156
0,22.212,132
0,22.262,126
0,22.312,108
0,22.362,96
0,22.412,90
0,22.462,78
0,22.512,66
0,22.562,60
0,22.612,54
0,22.662,42
0,22.712,42
0,22.762,36
0,22.812,30
0,22.862,24
0,22.912,18
0,22.962,18
0,23.012,12
0,23.062,12
0,23.112,6
0,23.162,6
0,23.212,0
0,23.262,0
0,23.312,0
0,23.362,0
0,23.412,-6
0,23.462,0
0,23.512,0
0,23.562,0
0,23.612,0
0,23.662,0
0,23.712,0
0,23.762,0
0,23.812,0
0,23.862,0
0,23.912,0
0,23.962,0
0,24.012,0
0,24.062,0
0,24.112,0
0,24.162,0
0,24.212,0
0,24.262,0
0,24.312,0
0,24.362,0
0,24.412,0
0,24.462,0
0,24.512,0
0,24.562,0
0,24.612,0
0,24.662,0
0,24.712,0
0,24.762,0
0,24.812,0
0,24.862,0
0,24.912,0
0,24.962,0
0,25.012,0
